crypto,Actual 2021.8.27 Close,% change,Predicted 8.28 Close
Celsius,5.864846229553223,-0.0030535213685043,5.84693779626829
IOTA,1.0405230522155762,0.0034910019659033,1.0441555202364285
Axie Infinity,73.35694885253906,0.0210811777608232,74.90339973129106
chainlink,26.04,0.0030017634039299,26.118165919038333
PAX Gold,1821.8453369140625,0.0005901879157047,1822.920568016192
Hedera,0.2545340061187744,0.0076357564018212,0.25647756578547704
bitcoin cash,635.42,0.0114604977015949,642.7022294495473
Kava,8.15080738067627,-0.0034793125293268,8.122448174432554
Elrond,141.06983947753906,0.0072547006862573,142.09325893880697
Helium,22.77008438110352,0.0256137868937629,23.353312469994105
Internet Computer,62.71674728393555,7.305989129235968e-05,62.721329362674325
STEPN,9.37018585205078,0.0051042645996374,9.418013759987424
xrp,1.19123,0.0013592618678177,1.1928491935148005
Theta Network,6.952980041503906,0.0058266255151489,6.993492452420054
Bitcoin Gold,69.5392074584961,0.0158764392666815,70.64324246236407
Gnosis,299.2017822265625,-0.0038460685678538,298.05103165649507
near protocol,5.319,-0.0002159586180522,5.3178513161105805
Synthetix,12.223566055297852,0.0032307754832806,12.263057652827568
monero,315.037,0.0521669782071428,331.4715283134436
eCash,9.40000027185306e-05,-0.0019896358717232,9.381297694117973e-05
Flow,22.16410255432129,0.0015506156764701,22.198470559196913
KuCoin Token,13.343106269836426,-0.0029651786857043,13.303541575524019
Celo,4.1702561378479,0.0347550912648099,4.315193770516437
Zilliqa,0.1127799972891807,0.0011884883934372,0.11291403500697077
Convex Finance,6.999957084655762,-0.0179242231281374,6.874488291983006
solana,87.897,0.0076131375614584,88.5661719522395
Holo,0.014139000326395,0.0370386098369286,0.014662689242968551
BitTorrent (New),0.0042790002189576,0.0077799058102936,0.004312290437623316
Waves,24.62040138244629,-0.005922480850766,24.47458752672058
uniswap,27.41,-0.001688502450465,27.363718147832753
Neutrino USD,1.000465989112854,0.0007792380134934,1.0012455902427781
Quant,195.5929412841797,-0.0006222677085259,195.47123011280294
polkadot,26.558,-0.0034001802727592,26.46769801231606
ethereum classic,64.1054,0.0116142555722747,64.84993649916291
The Graph,0.9207890033721924,0.7883208487207332,1.6466661720032771
Loopring,0.4967879951000213,0.0098997641103777,0.501706079064379
Aave,372.5262145996094,0.0025947778867633,373.49283738349203
Zcash,152.14804077148438,-0.00496000606119,151.39338556705962
The Sandbox,0.7074790000915527,0.0114879612760881,0.7156064914482501
Basic Attention Token,0.8446109890937805,0.0341366715729236,0.8734431970353571
dogecoin,0.289678,0.0743580310268361,0.3112178857117918
Klaytn,1.745048999786377,-0.0008315994482212,1.7435978180010356
Binance USD,1.0000319480895996,8.779497258532768e-05,1.0001197458670665
Kusama,305.9044494628906,0.0033948224649948,306.9429407600691
Shiba Inu,7.000000096013537e-06,-0.0024830856533265,6.982618496201842e-06
Neo,55.42911911010742,-0.003390269104648,55.24119948009057
unus sed leo,2.9858,0.0013910163466414,2.9899532966078013
cosmos,20.4457,0.0180007427731171,20.813737786516317
NEM,0.1997900009155273,-0.0003682656556414,0.19971642511984952
Lido DAO,6.082600116729736,0.0778561936887063,6.556168209548795
Decentraland,0.9302200078964232,-0.0065218790985448,0.9241532254698753
Cronos,0.1568820029497146,0.0302479999398954,0.16162736976550826
